%          Ground truth positioning data 
%  Timestamp (sec)       x (m)    y (m)    phi (rad)  
% ----------------------------------------------------
   1281004605.150270     0.000     0.000    0.0000
   1281004609.410164     0.344     0.001   -0.0511
   1281004610.050163     0.656    -0.016   -0.1057
   1281004610.690550     0.986    -0.054   -0.1499
   1281004611.330164     1.302    -0.105   -0.1979
   1281004611.970107     1.621    -0.166   -0.1811
   1281004612.610124     1.945    -0.220   -0.1344
   1281004613.250148     2.234    -0.261   -0.0925
   1281004613.890495     2.551    -0.289   -0.0817
   1281004614.531118     2.879    -0.323   -0.0758
   1281004615.170521     3.207    -0.353   -0.0743
   1281004615.810520     3.525    -0.364   -0.0807
   1281004616.450526     3.841    -0.389   -0.0823
   1281004617.090669     4.196    -0.415   -0.0961
   1281004617.730668     4.476    -0.447   -0.0930
   1281004618.380200     4.814    -0.478   -0.1055
   1281004619.010364     5.135    -0.512   -0.1093
   1281004619.650642     5.480    -0.543   -0.1188
   1281004620.291098     5.792    -0.579   -0.1229
   1281004620.940172     6.117    -0.626   -0.1319
   1281004621.580232     6.436    -0.670   -0.1368
   1281004622.210522     6.760    -0.711   -0.1399
   1281004622.850571     7.084    -0.757   -0.1509
   1281004623.500185     7.403    -0.808   -0.1455
   1281004624.130522     7.719    -0.858   -0.1608
   1281004624.770772     8.030    -0.918   -0.1499
   1281004625.420266     8.344    -0.981   -0.1574
   1281004626.060204     8.660    -1.015   -0.1744
   1281004626.690781     8.969    -1.067   -0.1760
   1281004627.340255     9.292    -1.124   -0.1847
   1281004627.980197     9.615    -1.186   -0.1877
   1281004628.620270     9.907    -1.254   -0.1873
   1281004629.260210    10.225    -1.298   -0.1798
   1281004632.460154    10.404    -1.504   -1.1199
   1281004633.520261    10.415    -1.631   -1.8663
   1281004636.520318    10.287    -1.568    2.4272
   1281004637.160552    10.020    -1.354    2.5183
   1281004637.580859     9.817    -1.260    2.7493
   1281004638.220571     9.517    -1.164    2.8666
   1281004638.860700     9.255    -1.076    2.8676
   1281004639.500603     8.889    -0.998    3.0252
   1281004640.140767     8.560    -0.971    3.1272
